"115年04月01日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","11,924,513,840","5,164,121,365","6,760,392,475",
"自營商(避險)","32,457,407,435","17,598,166,582","14,859,240,853",
"投信","17,675,363,536","7,564,545,646","10,110,817,890",
"外資及陸資(不含外資自營商)","246,000,418,718","222,749,100,665","23,251,318,053",
"外資自營商","0","0","0",
"合計","308,057,703,529","253,075,934,258","54,981,769,271",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

