"115年03月12日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","7,042,437,420","8,216,209,551","-1,173,772,131",
"自營商(避險)","19,945,859,933","27,969,114,862","-8,023,254,929",
"投信","11,293,462,659","12,136,821,444","-843,358,785",
"外資及陸資(不含外資自營商)","235,970,869,526","307,098,456,589","-71,127,587,063",
"外資自營商","0","0","0",
"合計","274,252,629,538","355,420,602,446","-81,167,972,908",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

