"115年03月17日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","9,658,406,308","5,971,297,625","3,687,108,683",
"自營商(避險)","27,140,147,826","21,731,982,549","5,408,165,277",
"投信","16,851,298,009","16,809,164,892","42,133,117",
"外資及陸資(不含外資自營商)","268,928,004,330","268,471,022,229","456,982,101",
"外資自營商","0","0","0",
"合計","322,577,856,473","312,983,467,295","9,594,389,178",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

