"115年03月30日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","6,098,549,031","9,997,748,138","-3,899,199,107",
"自營商(避險)","25,498,221,791","34,997,699,558","-9,499,477,767",
"投信","10,417,385,284","7,038,233,027","3,379,152,257",
"外資及陸資(不含外資自營商)","225,881,625,247","289,818,349,010","-63,936,723,763",
"外資自營商","0","0","0",
"合計","267,895,781,353","341,852,029,733","-73,956,248,380",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

