"115年03月05日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","6,742,715,431","11,227,550,810","-4,484,835,379",
"自營商(避險)","30,986,757,808","35,276,428,006","-4,289,670,198",
"投信","21,216,595,282","6,613,356,505","14,603,238,777",
"外資及陸資(不含外資自營商)","257,560,850,363","309,055,973,961","-51,495,123,598",
"外資自營商","0","0","0",
"合計","316,506,918,884","362,173,309,282","-45,666,390,398",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

