"115年03月04日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","11,751,748,421","18,880,943,703","-7,129,195,282",
"自營商(避險)","48,051,263,276","80,924,620,560","-32,873,357,284",
"投信","19,791,722,830","13,059,922,699","6,731,800,131",
"外資及陸資(不含外資自營商)","341,171,890,267","437,637,699,488","-96,465,809,221",
"外資自營商","0","0","0",
"合計","420,766,624,794","550,503,186,450","-129,736,561,656",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

