"115年03月03日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","8,276,835,198","12,638,109,681","-4,361,274,483",
"自營商(避險)","38,626,884,559","58,981,981,660","-20,355,097,101",
"投信","15,007,249,007","10,985,472,894","4,021,776,113",
"外資及陸資(不含外資自營商)","330,268,033,182","424,976,164,138","-94,708,130,956",
"外資自營商","0","0","0",
"合計","392,179,001,946","507,581,728,373","-115,402,726,427",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

