"115年03月25日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","9,400,680,727","5,820,751,716","3,579,929,011",
"自營商(避險)","26,757,287,621","17,194,796,931","9,562,490,690",
"投信","9,170,753,187","7,881,959,040","1,288,794,147",
"外資及陸資(不含外資自營商)","263,229,240,423","226,901,714,135","36,327,526,288",
"外資自營商","0","0","0",
"合計","308,557,961,958","257,799,221,822","50,758,740,136",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

