"115年03月31日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","7,978,164,680","9,645,354,082","-1,667,189,402",
"自營商(避險)","35,292,658,351","54,642,151,485","-19,349,493,134",
"投信","17,300,468,035","14,202,609,478","3,097,858,557",
"外資及陸資(不含外資自營商)","286,575,681,987","367,321,196,594","-80,745,514,607",
"外資自營商","0","0","0",
"合計","347,146,973,053","445,811,311,639","-98,664,338,586",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

