"115年04月09日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","11,860,435,717","9,392,789,298","2,467,646,419",
"自營商(避險)","26,105,139,738","22,376,832,530","3,728,307,208",
"投信","9,734,689,653","8,273,490,623","1,461,199,030",
"外資及陸資(不含外資自營商)","339,758,295,295","307,978,665,313","31,779,629,982",
"外資自營商","0","0","0",
"合計","387,458,560,403","348,021,777,764","39,436,782,639",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

